,Unnamed: 0,Unnamed: 0.1,username,content,total words per comment,frequency of large words per comment,Simpson,Sichel,Average sentence length per comment,Frequency of used punctuation per comment,Frequency of repeated occurrence of whitespace per comment,Number of grammar mistakes per comment,Uppercase word usage per comment,Ease reading for the content,Gunning Fog value for the content,Label
10,10,10,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,""": Die Freiheit zu Rasen und dabei andere mit Lichthupen zu schikanieren und mit 'vorne rein fahren und vollbremsen' zu bestrafen, die macht ein ganzes Volk zu rücksichtslosen Raudis, zumindest was die grundsätzliche Denke angeht."" Das, was sie hier beschreiben, ist bereits verboten. Genauso, wie Mittelspurschleichen und Spurwechsel ohne Ankündigung und Blick in den Rückspiegel. Vielleicht sollte man da erstmal ansetzen.",89,6,0.0627400452198296,0.01098901098901099,90.14285714285714,29,1,7,29,45.2,13.86,24
11,11,11,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""... eher eine (im Forum) verbreitete Masken-Phobie"" Ist immer so die Frage, ob man die Maske ein paar Minuten im Supermarkt (dank Amazon inzwischen bei mir maximal 1x die Woche) oder ein paar Minuten in der Straßenbahn trägt oder eben 1h im Bus hin zur Schule + 8h in der Schule + 1h im Bus zurück zur Schule. Jetzt, wo wir wieder um die 20 Grad haben, finde ich die im ÖPNV nicht mehr ganz so schlimm, aber 8h will ich die dennoch nicht tragen. Und wir wissen wohl beide, dass eine solche Maßnahme innerhalb des nächsten Jahres incl Sommer nicht zurückgenommen wird.",54,3,0.07036934696509167,0.02424242424242424,81.75,7,0,1,14,67.25,12.87,24
12,12,12,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""[...] jeder musste 'mitmachen', dann werden wir doch wohl das bisschen 'shutdown' noch halbwegs aufrecht ertragen können."" Mit dem Argument kann man aber auch ein wenig Selbstisolation bei erhöhtem Risiko und eine Erkrankung rechtfertigen. ""Damals"" haben die Menschen ihr Schicksal auch nicht einfach auf Gastronomen geschoben, die die Zeche bezahlen sollen.",116,12,0.06731291611185088,0.011984021304926764,67.36363636363636,21,0,5,38,70.05,10.75,24
13,13,13,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""[...]kann die große Party auch noch auf Ende 2021 verschieben"". Und schon wird aus ""mal ein Jahr"" zusammenreißen anderthalb Jahre. Wer weiß, wer bis dahin nicht schon an ganz anderen Dingen gestorben ist. . ""Wenn der Impfstoff da ist."" Ja, wenn.... Vielleicht kommt er auch erst Ende 2022. Oder nie. Wie kann man bei den Aussichten bloß nicht direkt an eiserne Disziplin denken...",210,17,0.06778128810814119,0.006134969325153374,129.4,23,2,14,36,54.25,17.0,24
14,14,14,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""2) Es fährt sich in Frankreich viel entspannter als hier, wo man wie ein Schießhund auf der Autobahn aufpassen muss."" Leider nicht. Da fahren dann Deutsche, die gar nicht mehr aufpassen, weil alle so schön langsam sind. Leider mehrfach erlebt. Naja, Rückspiegel und Blinker überfordern einige, vielleicht sollte man den Führerschein nicht auf Lebenszeit ausstellen. Entspannt finde ich es übrigens in Griechenland. Gerade auf Nationalstraßen habe ich es oft erlebt, dass langsamere Autos den Standstreifen mitnutzen, um schnellere Autos überholen zu lassen. In Deutschland undenkbar, da muss man seinen Hintermann schließlich erziehen!",219,28,0.0670955535228873,0.008141112618724558,104.35714285714286,30,0,10,63,57.9,13.11,24
15,15,15,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""853 EURO Bafög ist viel Geld"" ... das kaum jemand bekommt, da es um einen Höchstsatz geht. Von dem Geld bezahlt wird übrigens auch die eigene Ausstattung wie z. B. Laptop, Tablet usw. Übrigens, abgesehen davon, dass der Begriff ""Vollzeitstudium"" nicht von ungefähr kommt, unterscheiden sich Studiengänge und Unis sehr stark, weshalb ich mich mit pauschalen ""40 Stunden pro Monat""-Aussagen zurückhalten würde.",215,21,0.0683343868486355,0.004431314623338257,70.3157894736842,29,0,11,50,69.25,11.03,24
16,16,16,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Aber es ist halt immer einfacher, auf die Anderen einzudreschen anstatt ein paar cm2 Stoff vor die Nase zu halten."" Dass die paar cm2 Stoff vorm Gesicht höchstens eine kleine Teillösung sind, sollten Sie inzwischen auch verstanden haben (sonst wäre feiern mit Stoff ja okay). Dass die größten Einschränkungen nicht von der Maske kommen, wüssten Sie, wenn Sie nicht in ihrer kleinen Blase mit Haus, Garten und sicherem Einkommen (Rente?) leben würden. Ürigens, wenn man stundenlang mit Maske zusammenhockt (ICE, Schulklasse, ...), kann man sich die Maske auch schenken. Ein halbwegs passendes Modell wäre wohl dieses: https://de.wikipedia.org/wik…",167,15,0.07182033280322715,0.006889763779527559,91.45454545454544,14,0,10,38,71.2,11.83,24
17,17,17,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Aber mich befremdet die (paron) verwöhnte Attitüde, dass angeblich heute alles besonders schwierig und ungerecht wäre."" Das erinnert mich immer ein wenig an meinen Opa, der alles damit abgetan hat, dass die Hauptsache ist, dass wir Frieden haben. Vieles ist fairer als früher, wir können froh sein, dass es keine Studiengebühren(bis auf Verwaltungsgebühren)gibt und es ein System wie Bafög gibt. Trotzdem kann man dieses System kritisieren und besser machen. Warum man Bafög nicht erhöhen soll, wenn alles teurer wird, ist mir schleierhaft. Ich find's auch immer recht abenteuerlich, wenn über Studenten wie über Arbeitslose geredet wird. Ich kenne sowohl das Studieren als auch 10h pro Tag körperlich arbeiten. Nach den 10h war ich zwar fertig, hatte aber Feierabend. Als Student sieht das etwas anders aus. Meine Universität hat zum Beispiel Orientiertungsprüfungen eingeführt, weil das Abi nichts mehr wert ist. Fällt man durch, verliert man europaweit seinen Prüfungsanspruch. Das im Kopf zu haben finde ich anstrengender als 10h/Tag körperliche Arbeit. Verkackt man die falsche Prüfung, reichen die ECTS nicht mehr für den nächsten Bafög-Antrag, was einen auch nicht ruhig schlafen lässt. Genug Geld auf der hohen Kante zu haben, um einen Laptop (heute das, was früher Hefter und Collegeblock waren) ersetzen zu können, lässt einen auch ruhiger schlafen. Und nein, als hauptberufliches Arbeitsgerät tuts nicht der 300€ Laptop von Aldi. Und was viele hier vergessen: Die 90er sind lange her",108,21,0.07121893453247773,0.006321112515802781,263.0,12,0,2,30,36.0,20.8,24
18,18,18,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Aber wer es wagt, Rowling als größte Autorin aller Zeiten zu bezeichnen, hat sowieso andere Probleme als das Geschlecht seiner Lieblingsautoren."" Ich würde sagen, dass das stark von den Bewertungskriterien und vom Blickwinkel abhängt. Wenn man als Kriterium das von ihr geschaffene Universum und die Fanbase dieses Universums nimmt, ist diese Aussage gar nicht so abwegig.",82,9,0.06377876520412154,0.01610017889087657,79.0,13,0,3,24,57.15,13.95,24
19,19,19,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Aber wo sind die Physikerinnen, Chemikerinnen, Bauingenierinnen, Maschinenbauerinnen, Elektrotechnikerinnen, Informatikerinnen, etc."" Mal überlegen, wie es mir in meinem Studium ging: Orientierungsprüfungen: - Am Anfang des Studiums - Zum Aussieben - Könnte zwischenzeitlich zu erhöhtem Alkoholkonsum und zwischenzeitlich eher magerem Sozialleben geführt haben Aussiebprüfungen: - Wenig Freizeit - Manchmal nicht beim ersten Mal bestanden =>  erhöhter Alkoholkonsum und zwischenzeitlich eher mageres Sozialleben Normale Prüfungen: - 2-3 Monate Klausurenphase - Viel zu tun, da Professoren ihre Vorlesungen eher weniger klausurenorientiert halten => Wenig Freizeit => Eventuell gelegentlich erhöhter Alkoholkonsum und eher mageres Sozialleben Ja, ich habe mir öfters die Frage gestellt, warum ich den Mist mitmachen. Mein Fazit: Weil ich irgendwie bescheuert bin und eventuell leicht einen an der Klatsche habe und zu Selbstüberschätzung und Naivität neige. Daraus, dass Frauen eher weniger zu solchen Studiengängen neigen, könnte man auch schlussfolgern, dass Frauen etwas weniger bescheuert sind. Und ganz ehrlich: Zumindest in der Klausurenphase war ich schon ein wenig neidisch auf die Grundschullehramtsstudentinnen in meinem Bekanntenkreis.",93,10,0.07163854238751767,0.013745704467353952,115.6,14,0,1,19,62.15,15.19,24
20,20,20,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Andere Menschen umbringen?"" Sie können wohl nicht besonders gut zwischen Realität und virtueller Welt differenzieren. Paintballspieler sind sicher auch Mörder für Sie. Oder Lastertagspieler. Warum die wohl Schutzkleidung tragen und es Spielregeln gibt? Wenn es ums Morden ginge, könnte man ja einfach mit einer echten Waffe aufs Feld rennen, da ist man bestimmt der King. Aber das gemeinsame Bier hinterher fällt dann wohl weg. Letztendlich sind das alles nur Erweiterungen von Ticker oder Brennball, wie bereits kleine Kinder es spielen, aber eben um diverse taktische Elemente erweitert.",102,13,0.07266889969198152,0.014727540500736375,96.14285714285714,21,0,8,36,63.55,13.47,24
21,21,21,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""as was use of face masks (including N95 respirators or similar and surgical or similar masks [eg, 12–16-layer cotton or gauze masks])"" Das ist was völlig anderes anderes als die alten T-Shirts im Gesicht. Aber hey, kostenlose wirksame Masken für den Bürger wären wieder zu teuer, also lassen wir den Bürger sich nahezu unwirksame Behelfsmasken vors Gesicht hängen, dann schwitzt er wenigstens....",80,14,0.07232575535824634,0.009009009009009007,138.0,11,0,0,17,54.7,17.0,24
22,22,22,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Auch die permanenten Vorwürfe, dass Armut selbstverschuldet sei und Arbeitslose Faulpelze seien, lassen das Selbstwertgefühl auf ein Minimum schrumpfen."" Ein Punkt, an dem die Arge mal ansetzen sollte. Zu sanktionierende Faulheit dürfte seltenst das Problem sein. Eher, dass man fleißig das falsche tut, weil man nicht weiß, was zu tun ist (nicht abwertend gemeint!).",158,19,0.07113948170731707,0.007804878048780488,92.27272727272728,22,0,6,43,66.15,12.6,24
23,23,23,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Auch ich habe Hobbys. Wenn ich jedoch eines hiervon - warum auch immer - nicht ausüben kann so existieren unendliche sonstige Möglichkeiten, das Leben erfüllt zu gestalten."" Sorry, Briefmarkensammlung ist nicht so meins und den Platz für eine Modelleisenbahn habe ich nicht. Hätte ich irgendwann gerne mal (wenn auch nicht dafür), aber mit den beruflichen Einschränkungen wird das wohl noch etwas dauern.",128,16,0.07548005168073778,0.003537735849056604,140.5,17,0,4,33,48.05,15.68,24
24,24,24,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Äußerst solidarisch! Bleiben Sie gesund......"" Ich als Maskengegner war jetzt monatelang solidarisch, irgendwann reicht es auch mal. . ""Online hielft aber auch dem Einzelhandel...Satiere aus."" Ich denke, dass der Einzelhandel durch die Abschaffung der Maskenpflicht eher profitiert, in die andere Richtung ist kaum noch Spielraum. Mich jedenfalls treibt die Maskenpflicht zum Onlinehandel.",76,5,0.06791805710048203,0.015053763440860216,92.2,9,0,1,21,71.2,10.29,24
25,25,25,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Bei Rangeleien dasselbe: Man muss lernen, seine Emotionen soweit unter Kontrolle zu haben."" Richtig, die Emotionen bloß immer schön so weit runterschlucken, dass es nicht ganz überkocht (der Anfang von Depressionen). Sich wie Mädchen über Wochen dezent ankeifen ist viel besser! Das Reduzieren von Rangeleien auf moralisch fragwürdige Gewalt sagt übrigens einiges aus!",72,11,0.06344278310400213,0.008130081300813009,97.6,19,1,6,11,56.7,14.98,24
26,26,26,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""BW- vielen Dank für Ihre Solidarität..."" Solidarisch war ich, als Corona noch absolut unkontrolliert hier war. Solidarisch war ich, als ich noch vorm Maskenzwang freiwillig die Maske getragen habe, weil wirklich niemand eine Ahnung hat, sich das Virus in Deutschland verbreiten wird. Jetzt bin ich nicht mehr solidarisch, ich trage die Maske nur noch übern Mund, weil man mich zwingt, mir also die Entscheidungsfreiheit nimmt.",82,13,0.06647535183583618,0.007233273056057866,91.5,19,0,3,19,58.3,12.9,24
27,27,27,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Corona ist wieder voll da und mit voller Wucht in Europa zurück. Corona ist absolut tödlich. Es geht um Leben und Tod. Wir müssen umsichtig und vorsichtig bleiben."" Gucken Sie mal auf die Zahl der neuen Todesfälle in Deutschland. Das nennen Sie absolut tödlich? Vermutlich meinen Sie das sarkastisch, dann entschuldige ich mich. Allerdings kann man sich hier bei Zeit-Online, wo viele alte am liebsten das ganze Jungvolk wegsperren würden, um selbst keine Einschräkungen hinnehmen zu müssen, nicht sicher sein.",213,28,0.06681313745025658,0.004847645429362882,119.41666666666669,43,0,13,60,50.15,15.05,24
28,28,28,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Daher ist die Diskussion darüber, was dieser bringt, reichlich zwecklos, eben weil er bei steigenden Zahlen kommt."" Das ist leider richtig, die Diskussion müsste weiter oben ankommen. Sonst wiederholen sich Späße wie Beherbungsverbote, die nur mäßig sinnvoll sind und von Gerichten gekippt werden. Wenn man erwähnt, dass Atemwegserkrankungen schon immer im Winter zugenommen haben und undurchdachte Verzweiflungsmaßnahmen daran auch nichts ändern werden, ist man ja aber gleich in der Covidiotenecke...",62,6,0.06536092697948745,0.015306122448979591,64.5,11,0,3,22,74.2,12.09,24
29,29,29,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Daher: nicht nur aufklären, sondern Kinder und Jugendliche in einem unbeschämten, pädagogischen Umfeld auch miteinander drüber lassen, damit sie auch die Kommunikation lernen."" Also mit engen Freunden über sowas zu reden, ist für mich kein Problem. Mit meiner Partnerin über sowas zu reden, noch viel weniger. Aber mit Lehrern/Pädogogen oder gar im Klassenverbund?! Da wäre ich raus gewesen!",85,13,0.06999340388310532,0.005076142131979695,97.66666666666669,16,0,1,22,51.85,14.8,24
30,30,30,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Dann hätten wir das Problem, dass der Staat mit seiner Politik der offenen Grenzen eine Politik betreibt, die demokratisch eigentlich gar nicht legitimiert sein kann, insofern Demokratie formal immer noch eine repräsentative."" Für mich sind die offenen Grenzen ein wesentlicher Bestandteil der Demokratie. Für mich bedeutet Demokratie, dass unter Einfluss des Volkes eine (Regel-)Basis geschaffen wird, auf der sich jeder ein gutes Leben nach seinen Vorstellungen aufbauen können. Wichtig dabei: Möglichst ohne anderen zu sehr in die Suppe zu spucken (weshalb z. B: Klimaschutz wichtig ist). Wesentlich ist für mich dabei, dass ich gehen kann, wenn mir diese Basis (oder vielleicht das Wetter) nicht schmeckt und dass man sich für diese Basis entscheiden kann, indem man hierhin einwandert. Dass manch einer lieber gegen andere hetzt und schimpft, statt sich um sein eigenes Leben zu kümmern, wird sich wohl trotz der Möglichkeiten, die dieses Land einem bietet, leider nie ändern.",68,6,0.07290465631929048,0.011086474501108648,89.4,9,0,3,23,66.95,12.5,24
31,31,31,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Das heißt nicht freie Wahl des Ortes und ist auch nicht notwendig"" Doch ist es. Der berufliche Werdeganz hängt auch ein wenig von der Uni ab. Außerdem ist es gar nicht schlecht, dass die eigene Zukunft nicht vom Lebensmittelpunkt der Eltern abhängt. Das Studium ist eine hervorragende Chance, sich woanders ein Leben aufzubauen und ein wenig auf Tuchfühlung mit den dort ansässigen Unternehmen zu gehen. Ich zum Beispiel komme aus einer eher strukturschwachen Region, dort die nächstbeste Uni zu nehmen, wäre keine gute Idee für mich gewesen. Viele ehemalige Schulkameraden haben das gemacht, zum einen aus Angst vor dem Unbekannten, zum anderen damit Mutti die Wäsche am WE macht. Ich bin lieber weggezogen, statt mich über die Bedingungen dort zu beschweren und halte es für fair, dass das geht.",150,16,0.0701806163435918,0.0081799591002045,138.85714285714286,20,0,4,40,53.3,14.43,24
32,32,32,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Das klassische Familienmodell Mutter-Vater-Kind ist überholt, [...]"" Puh, gut, dass meine Eltern so veraltet waren/sind. Mit Mutter und Vater aufzuwachsen, empfinde ich durchaus als vorteilhaft. Aber meine arme Rente... Was ist die Alternative? Keine Kinder? Keine Kinder mit ""festen"" Eltern? Ehrlich gesagt habe ich bisher auch kein Modell gefunden, mit dem ich persönlich besser leben würde. Dauernd wechselnde Partnerschaften sind nicht so meins, Sex und Liebe kann ich schlecht trennen und ich stehe nun mal auf Frauen. Dass andere Modelle akzeptiert sind, ist das eine. Dass ich mit ""meinem"" Modell zum alten Eisen zähle, schockiert mich ein wenig.",64,4,0.06777253943309469,0.016867469879518072,137.66666666666666,7,0,1,13,42.7,17.8,24
33,33,33,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Das liegt daran, dass unsere Welt von alten, dicken Männern regiert wird – und von deren Hygienestandards."" Mein Land wird seit 2005 von einer Frau regiert. In meiner Kindheit wurde ich von meiner Mutter ""regiert"". Aber Hauptsache die tägliche Portion Männerhass ... ähhh Feminismus. So schadet man dem ursprünglichen Feminismus! . ""Und das ist nicht einmal so umweltfreundlich, wie man immer sagt: Wer zehn Minuten duscht, verbraucht dabei fast so viele Liter Wasser wie bei einem Vollbad."" Absolut blödsinnige Diskussion. Wasserverbrauch ist hier unser geringstes Problem. Es werden sogar regelmäßig Abwasserleitungen mit Frischwasser durchgespült, weil zu wenig verbraucht wird. Ich persönlich präferiere lange und heiße Duschen zum Reinigen und Entspannen, mit Badewannen habe ich es nicht so.",57,11,0.057417838930443964,0.013574660633484163,62.28571428571429,18,0,4,20,45.75,15.79,24
34,34,34,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Das Problem wird erst behoben, wenn man ein Lebewesen nicht als Eigentum betrachtet. Dazu gehoeren die Tiere."" Tut mir leid, das gelegentliche Verspeisen von Tieren liegt in meiner Natur. Sie werden weder mich, noch einen Löwen zum Veganer machen. ""So weit ich weiss, wird in Deutschland ein Hund behandelt vor Gericht, als waere er ein Holzstuhl."" Das ist falsch, allein schon wegen diverser Tierschutzgesetze.",127,17,0.06717633234257278,0.005875440658049354,120.71428571428572,15,0,4,33,56.6,15.43,24
35,35,35,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Das was Sie oft tun, fällt Ihnen besonders leicht."" Klar, einen Freund mit Laser zu beschießen oder am PC auf seinen Avatar zu klicken, um diesen auszuschalten und hinterher eventuell noch ein Bier mit dem Freund zu trinken, ist fast das gleiche, wie eine echte Waffe in die Hand zu nehmen, durchzuladen und ein echtes Menschenleben zu beenden.",221,27,0.06998286222530749,0.0020161290322580645,123.08333333333331,39,0,3,62,56.3,14.6,24
36,36,36,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""Dass innerhalb weniger Monate ein wirksamer Impfstoff zur Verfügung steht und die gesamte Bevölkerung damit geimpft werden kann. Die Wahrscheinlichkeit, dass dieses Szenario eintrifft, liegt jedoch irgendwo zwischen 0 und 1%."" Gehören Sie nicht zu denen, die fordern, dass man sich mal ein paar Monate zusammenreißen soll? . ""Die WHO geht weiterhin nicht davon aus, dass vor 2025 ein Impfstoff zur Verfügung steht, der die Pandemie nachhaltig abschwächt."" Wie kann bei solchen Aussichten bloß die Disziplin junger Leute nachlassen? Das sind 5 Jahre, in der Welt von unter-30-jährigen eine Ewigkeit, die zwischen ""Feiern und Studieren"" und ""Mann/Frau und Kind"" steht.",78,5,0.07054625536072062,0.01016260162601626,81.16666666666667,9,0,4,20,67.55,10.33,24
37,37,37,aaaaaaaaaaaaaaaasssssssssssssdddddddddd,"""dass Ordnungsbehörden Verstöße etwa bei falschen persönlichen Angaben in Restaurants mit einem Mindestbußgeld von 50 Euro belegen können."" Hmmm, 50€ risikieren, oder dass die Polizei mich für dringend tatverdächtig im Fall einer Beleidung hält, weil die stattfand, während ich im Restaurant am Tatort war? Mal ganz ehrlich, die Falschangaben hat man nun wirklich selbst provoziert.",91,9,0.06010479569538756,0.011986301369863013,116.0,16,0,6,23,68.2,13.87,24
