,total words per comment,frequency of large words per comment,Simpson,Sichel,Average sentence length per comment,Frequency of used punctuation per comment,Frequency of repeated occurrence of whitespace per comment,Number of grammar mistakes per comment,Uppercase word usage per comment,Ease reading for the content,Gunning Fog value for the content
20,102,13,0.07266889969198152,0.014727540500736377,96.14285714285714,21,0,8,36,63.55,13.47
21,80,14,0.07232575535824634,0.009009009009009009,138.0,11,0,0,17,54.7,17.0
22,158,19,0.07113948170731708,0.007804878048780488,92.27272727272727,22,0,6,43,66.15,12.6
23,128,16,0.07548005168073778,0.003537735849056604,140.5,17,0,4,33,48.05,15.68
24,76,5,0.06791805710048203,0.015053763440860216,92.2,9,0,1,21,71.2,10.29
25,72,11,0.06344278310400212,0.008130081300813009,97.6,19,1,6,11,56.7,14.98
26,82,13,0.06647535183583617,0.007233273056057866,91.5,19,0,3,19,58.3,12.9
27,213,28,0.06681313745025658,0.004847645429362881,119.41666666666667,43,0,13,60,50.15,15.05
28,62,6,0.06536092697948745,0.015306122448979591,64.5,11,0,3,22,74.2,12.09
29,85,13,0.06999340388310532,0.005076142131979695,97.66666666666667,16,0,1,22,51.85,14.8
30,68,6,0.07290465631929048,0.011086474501108648,89.4,9,0,3,23,66.95,12.5
31,150,16,0.0701806163435918,0.0081799591002045,138.85714285714286,20,0,4,40,53.3,14.43
32,64,4,0.06777253943309469,0.016867469879518072,137.66666666666666,7,0,1,13,42.7,17.8
33,57,11,0.057417838930443964,0.013574660633484163,62.285714285714285,18,0,4,20,45.75,15.79
34,127,17,0.06717633234257277,0.005875440658049354,120.71428571428571,15,0,4,33,56.6,15.43
35,221,27,0.06998286222530749,0.0020161290322580645,123.08333333333333,39,0,3,62,56.3,14.6
36,78,5,0.07054625536072062,0.01016260162601626,81.16666666666667,9,0,4,20,67.55,10.33
37,91,9,0.06010479569538756,0.011986301369863013,116.0,16,0,6,23,68.2,13.87
38,86,8,0.07122405404459377,0.007476635514018692,75.57142857142857,13,0,2,22,74.1,9.57
39,60,11,0.06932461976069017,0.007263922518159807,68.0,12,0,4,18,49.0,14.17
40,59,4,0.0694728949940421,0.015503875968992248,128.33333333333334,7,0,1,19,55.0,13.98
41,83,14,0.07268061587050927,0.008389261744966443,65.33333333333333,17,0,4,28,52.6,14.28
42,105,12,0.06911769924065007,0.00744047619047619,167.25,18,0,6,26,49.4,16.46
43,84,6,0.06388291003013347,0.007905138339920948,62.375,13,0,2,25,74.4,9.09
44,208,24,0.06918263791790892,0.0035536602700781805,92.86666666666666,32,0,8,59,60.8,10.56
45,72,10,0.07075751503006013,0.016,99.2,13,1,5,19,49.0,14.17
46,60,10,0.06301907751126955,0.01015228426395939,97.75,10,0,2,18,60.2,14.08
47,180,16,0.06454157839217806,0.007731958762886598,76.66666666666667,43,0,15,53,66.75,11.11
48,55,5,0.07887281664509108,0.027522935779816515,108.33333333333333,11,0,4,14,57.7,12.29
49,74,13,0.06116051578479324,0.007692307692307693,73.42857142857143,16,0,2,24,58.25,13.97
50,95,10,0.06788523031717225,0.013136288998357963,100.66666666666667,15,0,4,23,55.9,13.05
51,93,8,0.07332740006965138,0.008305647840531562,149.75,18,0,6,24,49.85,18.37
52,132,23,0.065638281889863,0.0044004400440044,112.75,22,0,5,44,50.15,16.95
53,127,13,0.06981555596844413,0.005599104143337066,148.0,23,0,6,42,38.4,18.95
54,51,0,0.0713445130920859,0.012944983818770227,102.33333333333333,8,0,3,13,61.4,16.4
55,60,6,0.06409349759928538,0.017412935323383085,79.6,11,0,2,15,54.7,16.67
56,63,9,0.061773700305810406,0.013761467889908258,108.25,15,0,5,18,47.7,16.61
57,69,11,0.06872756177881045,0.008350730688935281,79.0,19,0,5,17,49.4,14.26
58,132,10,0.06957292887817146,0.0049261083743842365,202.25,38,0,18,37,58.85,14.22
59,131,19,0.07036699790173802,0.006888633754305396,123.57142857142857,22,0,7,41,50.85,13.87
60,86,9,0.06751811594202899,0.008680555555555556,63.111111111111114,16,0,4,22,65.1,11.28
61,71,1,0.07704772475027745,0.009411764705882352,141.0,9,0,1,18,62.7,15.11
62,121,15,0.06941710254593692,0.008588957055214725,135.0,18,0,7,33,49.35,14.64
63,73,7,0.06481148184041717,0.008583690987124463,57.375,19,0,4,27,62.9,10.92
64,167,15,0.07085842691842789,0.0018832391713747645,117.11111111111111,35,0,6,42,34.4,22.83
65,54,2,0.07449670071029295,0.012944983818770227,76.5,7,0,4,16,74.25,11.64
66,104,14,0.06780406892116042,0.005813953488372093,85.125,22,0,6,28,54.45,14.08
67,117,15,0.0651961057205825,0.0076726342710997444,77.3,23,0,2,34,60.1,14.05
68,115,8,0.07295298734987453,0.007782101167315175,127.66666666666667,15,0,1,26,55.5,13.59
69,57,6,0.0702774674400453,0.019337016574585635,120.0,10,0,3,18,66.25,11.33
70,148,14,0.07661466443380242,0.004945598417408506,167.66666666666666,29,1,10,40,39.7,17.32
71,56,5,0.07222814498933901,0.020833333333333332,83.25,7,0,1,17,62.25,14.59
72,101,12,0.0642181348063701,0.01818181818181818,101.28571428571429,31,0,8,32,46.8,14.73
73,214,34,0.06686575521440903,0.0074374577417173765,122.33333333333333,48,0,24,64,47.5,14.71
74,82,3,0.07270798863009631,0.018518518518518517,96.4,14,0,5,25,70.2,10.92
75,83,7,0.07645086368490621,0.007722007722007722,85.5,10,0,3,22,63.95,12.91
76,164,21,0.06535372258263823,0.010185185185185186,89.08333333333333,32,0,7,56,61.4,13.82
77,61,5,0.06251693404634581,0.02666666666666667,74.2,14,0,5,20,65.75,12.02
78,59,11,0.06128359592215013,0.009615384615384616,82.4,9,0,4,17,54.05,18.12
79,127,7,0.06973628053319567,0.007712082262210797,154.8,19,0,2,27,55.4,18.21
80,158,12,0.07152833649792423,0.006211180124223602,119.875,16,0,4,42,66.6,13.49
81,214,21,0.07026263082921208,0.004992867332382311,99.21428571428571,42,0,13,55,58.4,13.12
82,59,2,0.0632512283734255,0.011299435028248588,70.0,15,0,5,19,74.6,11.5
83,85,7,0.06928781875444477,0.010362694300518135,144.0,13,0,3,22,47.55,15.58
84,107,10,0.07155535332915218,0.004291845493562232,115.66666666666667,13,0,6,24,56.9,14.22
85,113,14,0.0696506585158988,0.007585335018963337,98.0,16,0,7,30,49.1,16.01
86,89,17,0.06203674374406082,0.012987012987012988,76.125,19,0,6,29,57.75,13.43
87,81,13,0.06512270131174293,0.01592920353982301,93.33333333333333,13,0,2,24,55.35,15.77
88,56,8,0.05682722149395539,0.018912529550827423,83.8,18,0,2,21,51.8,13.05
89,112,10,0.0672377924779692,0.009762900976290097,101.57142857142857,19,0,6,37,56.4,13.5
90,51,4,0.06372663551401869,0.018691588785046728,106.33333333333333,5,0,2,12,63.55,13.86
91,156,21,0.06645202075890562,0.008130081300813009,137.5,34,0,5,45,46.75,17.87
92,87,11,0.06768912508470949,0.0037735849056603774,105.2,13,0,0,25,69.2,12.93
93,199,15,0.06957122942005366,0.00791765637371338,96.23076923076923,30,0,6,55,63.95,12.67
94,118,14,0.07373478632107557,0.008064516129032258,105.42857142857143,20,0,3,29,58.1,12.85
95,148,27,0.06599170800325756,0.004807692307692308,114.66666666666667,18,0,2,39,50.45,16.88
96,91,7,0.06859679955600777,0.0035087719298245615,94.16666666666667,14,0,2,17,59.5,12.23
97,72,7,0.06362008036016846,0.01098901098901099,64.14285714285714,13,0,2,17,72.0,8.54
98,157,18,0.06460797040883468,0.00471253534401508,105.2,35,0,8,39,65.05,12.14
99,169,20,0.06687040819185985,0.007259528130671506,90.91666666666667,32,0,13,51,60.9,12.79
100,54,8,0.06293415068881078,0.005763688760806916,68.6,10,0,1,17,72.9,13.55
101,52,5,0.06837845901394793,0.024390243902439025,108.66666666666667,9,0,3,11,63.25,14.61
102,93,13,0.06697538409029063,0.012139605462822459,109.0,15,0,3,28,53.35,13.94
103,201,32,0.06801087225105018,0.002962962962962963,111.58333333333333,29,0,10,63,46.95,17.9
104,53,7,0.06976570102552583,0.01366120218579235,121.33333333333333,6,0,3,14,42.35,18.9
105,184,35,0.0718278835481943,0.003770739064856712,131.7,33,0,11,46,44.6,15.62
106,50,5,0.07237950792045839,0.020289855072463767,85.5,7,0,1,17,56.35,11.4
107,157,22,0.06663619468760022,0.00658513640639699,105.4,22,0,4,34,51.55,15.38
108,77,6,0.06741609644835451,0.016129032258064516,247.5,12,0,0,22,36.2,20.08
109,66,8,0.06754787557513799,0.019138755980861243,103.75,10,0,8,15,59.25,16.65
110,57,9,0.06875864222311431,0.007075471698113208,140.66666666666666,8,0,2,15,44.0,17.42
111,114,9,0.06716713933529815,0.00816326530612245,91.0,19,0,4,30,60.4,12.04
112,141,19,0.06912604303908651,0.006060606060606061,109.11111111111111,24,1,3,51,51.25,14.13
113,188,23,0.0680374045220392,0.007165605095541401,178.57142857142858,30,1,6,45,43.4,19.12
114,82,8,0.07036916243457733,0.003937007874015748,126.25,10,0,3,17,65.9,14.05
115,121,21,0.06708206053873926,0.006009615384615385,118.0,20,1,9,39,46.6,15.95
116,145,29,0.0667082248809758,0.0019083969465648854,148.85714285714286,22,0,11,43,34.35,19.05
117,92,12,0.059637845747784794,0.008982035928143712,110.5,30,1,8,25,53.55,15.69
118,91,13,0.06352211585831168,0.004658385093167702,91.14285714285714,16,0,5,29,55.85,13.99
119,161,18,0.06888465240245797,0.0038461538461538464,129.125,29,0,11,48,62.65,14.12
120,124,8,0.07500180414231075,0.006711409395973154,105.57142857142857,18,0,1,32,62.95,12.89
121,117,13,0.06233270765615222,0.0049382716049382715,89.11111111111111,27,0,4,30,55.85,12.72
122,75,5,0.06280309869208323,0.018306636155606407,61.57142857142857,10,0,1,23,75.7,9.08
123,111,11,0.06994521148367303,0.0073964497041420114,111.83333333333333,15,0,9,25,64.2,14.29
124,176,19,0.06548651654156241,0.0025,132.33333333333334,39,1,10,57,47.05,15.16
125,75,17,0.06965058236272881,0.008319467554076539,149.5,8,0,1,21,32.5,19.25
126,79,20,0.06872821697619541,0.006279434850863423,78.75,12,0,0,26,34.15,16.17
127,134,5,0.07047428523797616,0.005161290322580645,109.85714285714286,18,0,2,33,73.35,11.8
128,58,6,0.06594309435267665,0.013404825737265416,92.5,7,0,0,15,61.25,13.24
129,74,7,0.0697061072309133,0.018633540372670808,95.8,11,1,3,24,59.9,14.03
130,59,4,0.0636749935616791,0.0226628895184136,87.5,15,0,5,17,66.7,11.95
131,111,14,0.06279288042458063,0.010443864229765013,126.83333333333333,30,0,3,30,35.7,18.63
132,80,11,0.06801788375558866,0.005454545454545455,136.75,14,0,2,17,60.55,13.0
133,52,7,0.0704225352112676,0.01971830985915493,88.0,14,0,4,14,48.7,16.55
134,120,8,0.06913766753912906,0.013245033112582781,125.16666666666667,16,0,4,30,50.9,15.91
135,142,26,0.06550756045904547,0.0029182879377431907,84.75,24,0,3,41,48.8,16.1
136,104,14,0.06780406892116042,0.005813953488372093,85.125,22,0,6,28,54.45,14.08
137,72,14,0.0627847184501177,0.015209125475285171,86.83333333333333,9,0,1,30,45.15,18.13
138,56,10,0.06523163914412387,0.002531645569620253,65.0,14,0,10,18,54.85,12.74
139,73,6,0.06998042505592841,0.006696428571428571,111.25,12,0,3,24,56.25,16.3
140,65,10,0.0621098471677181,0.024390243902439025,69.42857142857143,15,1,4,16,50.0,13.82
141,62,11,0.06347116763440608,0.012106537530266344,50.75,11,0,1,20,59.95,13.24
142,112,20,0.05903402243441178,0.011180124223602485,99.75,19,0,0,39,49.0,14.53
143,71,5,0.07587261415163978,0.006880733944954129,71.83333333333333,10,0,0,17,68.75,12.61
144,90,8,0.07310529845741114,0.008802816901408451,188.66666666666666,12,0,2,16,50.85,18.17
145,100,16,0.0670679169838468,0.008670520231213872,172.25,8,0,0,23,43.85,18.4
146,54,7,0.06039698234820186,0.013513513513513514,73.2,5,0,1,16,55.35,15.03
147,56,9,0.0651190241983081,0.020460358056265986,64.33333333333333,8,0,2,20,57.65,14.48
148,74,10,0.0652851588971716,0.009433962264150943,74.85714285714286,26,0,7,30,56.55,11.41
149,59,10,0.061017353449818124,0.02195121951219512,81.2,11,0,0,16,48.2,16.09
150,61,10,0.061607219228466334,0.016166281755196306,85.8,13,0,2,21,47.7,15.3
151,50,6,0.06275349849876213,0.020710059171597635,83.75,17,0,8,21,68.05,10.6
152,122,14,0.06080232799833715,0.01411764705882353,169.2,30,0,6,36,50.3,16.32
153,62,8,0.06882015705545119,0.00980392156862745,80.8,9,1,2,17,56.45,11.41
154,108,11,0.06778854262316585,0.008207934336525308,80.33333333333333,16,0,1,33,56.85,14.8
155,128,20,0.062137517758330624,0.01284796573875803,186.0,29,0,5,35,31.2,22.48
156,50,2,0.05365534179287761,0.02,68.8,22,1,3,25,58.4,11.42
157,66,6,0.06482554835776795,0.007142857142857143,104.25,16,0,2,10,64.05,11.45
158,73,4,0.07100543031100871,0.009685230024213076,50.75,15,0,5,23,82.15,6.86
159,155,18,0.06873139813271818,0.010486177311725452,86.5,26,2,6,33,59.2,14.97
160,60,12,0.06083055740617368,0.00631578947368421,94.2,18,2,5,23,30.45,14.67
161,127,13,0.06862178390685275,0.00849514563106796,102.0,24,2,5,40,62.45,14.17
162,57,7,0.06169976392167756,0.015789473684210527,75.2,12,0,4,22,69.15,10.88
163,68,6,0.06655025900704266,0.016867469879518072,68.33333333333333,8,1,1,26,69.25,10.4
164,65,11,0.07319427058947185,0.015283842794759825,64.57142857142857,11,0,1,25,58.05,14.17
165,80,6,0.0658835126920233,0.009652509652509652,72.85714285714286,13,3,3,28,58.9,11.38
166,213,32,0.06497415627850407,0.0033422459893048127,123.66666666666667,40,3,12,51,45.15,18.31
167,54,3,0.06540276373441187,0.020289855072463767,48.42857142857143,13,0,1,19,71.75,9.56
168,85,19,0.06729647237466305,0.014354066985645933,77.5,17,1,5,30,49.2,16.6
169,117,18,0.06826335629793319,0.007643312101910828,86.33333333333333,22,0,5,29,54.45,14.8
170,81,8,0.07160156938523705,0.01263537906137184,68.375,19,2,10,20,55.35,13.3
171,51,7,0.07417274021948563,0.02023121387283237,114.66666666666667,10,2,7,10,51.85,13.07
172,182,24,0.06679898906934154,0.0038255547054322878,92.42857142857143,34,2,4,56,50.0,14.87
173,61,7,0.06360227746146369,0.007894736842105263,53.42857142857143,10,2,2,20,71.85,10.04
174,58,8,0.0667320382688893,0.02056555269922879,96.5,11,1,3,18,55.4,14.62
175,74,12,0.06726383983909068,0.011834319526627219,83.66666666666667,13,0,1,20,48.2,14.57
176,63,10,0.06559836345039208,0.01904761904761905,83.2,9,1,3,18,68.15,13.35
177,67,8,0.06580389736167133,0.009216589861751152,71.5,12,0,0,21,69.35,11.05
178,79,11,0.0642466397683111,0.005272407732864675,94.0,13,1,1,23,55.65,13.89
179,65,13,0.05727063287708361,0.014861995753715499,156.33333333333334,13,0,1,22,47.55,17.9
180,56,7,0.0677579776212184,0.02099737532808399,94.25,12,2,2,14,50.55,14.59
181,93,7,0.06925648782041077,0.017482517482517484,80.85714285714286,20,1,1,21,67.25,10.91
182,128,18,0.06735796011768554,0.004571428571428572,86.6,17,2,5,38,56.15,13.58
183,59,10,0.0656479983297667,0.007653061224489796,97.25,9,0,1,13,54.35,16.14
184,50,7,0.0607754661981392,0.028391167192429023,78.5,10,1,3,14,73.9,10.6
185,67,8,0.07112215194029198,0.011682242990654205,84.8,13,1,4,17,67.15,13.12
186,67,13,0.07056857272668267,0.01609657947686117,123.5,10,0,6,19,29.6,21.6
187,82,6,0.07241691357844496,0.015267175572519083,261.5,15,0,1,15,39.55,22.74
188,146,29,0.06633442688637903,0.005479452054794521,108.6,31,3,3,35,36.25,20.14
189,94,13,0.06414294071762872,0.0093603744149766,70.33333333333333,18,2,5,28,61.3,13.02
190,112,13,0.0668910653483244,0.00697350069735007,64.0909090909091,22,2,3,30,62.6,11.81
191,63,7,0.06014828544949028,0.009615384615384616,68.5,13,2,2,22,64.2,11.18
192,53,12,0.06620823415322225,0.012531328320802004,99.0,9,0,0,15,38.0,17.4
193,71,11,0.06500942338430706,0.00199203187250996,124.75,13,0,0,18,45.2,14.44
194,123,13,0.06476668459102587,0.005012531328320802,56.0,30,2,3,42,64.6,10.65
195,82,19,0.06153655083335403,0.006299212598425197,126.2,12,0,2,22,40.75,18.76
196,72,13,0.06367274344152955,0.011538461538461539,103.2,12,1,2,23,42.95,18.07
197,62,9,0.06936457514070049,0.009029345372460496,73.0,12,0,5,16,50.6,16.57
198,54,8,0.06333978215355261,0.010282776349614395,96.5,8,0,1,13,49.5,15.03
199,57,7,0.06613120863586713,0.010126582278481013,78.2,12,2,2,15,57.45,12.98
200,139,24,0.06859228092950294,0.004911591355599214,83.66666666666667,19,3,0,44,47.6,17.67
201,77,11,0.06666933867735471,0.006,82.5,12,0,2,21,61.9,12.39
202,55,8,0.06876903428627568,0.007936507936507936,93.75,7,0,0,19,60.9,14.25
203,70,14,0.0667798612136424,0.011516314779270634,103.4,10,0,0,20,39.65,18.43
204,138,15,0.06444438039238291,0.0065717415115005475,100.55555555555556,23,3,9,44,59.8,13.12
205,57,10,0.05882217303080612,0.016786570743405275,51.25,11,0,0,21,55.9,13.37
206,99,11,0.06163873285464211,0.015105740181268883,72.66666666666667,23,1,3,36,58.4,14.28
207,99,11,0.06137624352450373,0.015128593040847202,72.55555555555556,23,0,2,36,58.4,14.28
208,52,3,0.06366004558775644,0.021021021021021023,110.33333333333333,15,0,0,11,63.25,12.3
209,76,8,0.06272471670784698,0.012371134020618556,53.0,14,0,1,23,71.15,9.63
210,71,12,0.06698602794411178,0.011976047904191617,99.4,13,2,3,31,54.85,13.6
211,53,3,0.06626516601408178,0.01775147928994083,66.8,9,1,1,13,69.95,11.03
212,110,19,0.06805016015811355,0.008706467661691543,99.625,20,0,0,30,43.35,15.34
213,106,17,0.060329603571529486,0.0013280212483399733,82.77777777777777,17,1,5,32,51.15,15.38
214,51,11,0.06437076648841354,0.0026666666666666666,93.0,7,0,0,15,50.2,14.53
215,65,11,0.06649161362749854,0.008714596949891068,91.0,10,1,1,18,50.0,14.43
216,81,20,0.07198109831821341,0.011345218800648298,102.0,10,0,1,29,38.0,14.82
217,58,9,0.06355562245973205,0.019178082191780823,60.0,8,0,2,19,74.8,12.23
218,63,11,0.057511702389751174,0.013303769401330377,89.4,17,0,0,24,50.4,13.29
219,53,6,0.06567647775659131,0.016042780748663103,92.75,8,0,0,15,55.55,13.62
220,50,9,0.068776628119294,0.010752688172043012,92.25,9,0,0,17,44.65,17.0
221,90,20,0.05999532629926674,0.004451038575667656,83.375,14,0,0,24,51.7,15.63
222,81,14,0.06442375641380159,0.0017513134851138354,80.42857142857143,10,4,2,26,46.8,18.33
223,55,13,0.060605281758015814,0.012658227848101266,131.0,8,0,0,19,50.55,16.77
224,110,23,0.060034231921266584,0.007692307692307693,110.57142857142857,18,0,0,31,47.3,16.83
225,57,13,0.059210128175645416,0.009828009828009828,80.6,20,0,0,19,63.3,14.38
226,68,14,0.06612388106697856,0.005802707930367505,128.5,8,0,0,23,34.3,19.15
227,66,12,0.0678880398559262,0.012295081967213115,162.0,10,1,1,21,41.0,16.68
228,120,18,0.06549355239990302,0.006920415224913495,123.0,25,7,7,39,45.9,16.17
229,62,11,0.06769966191025811,0.020316027088036117,221.0,7,0,0,18,32.0,22.08
230,56,8,0.06174939028409465,0.010256410256410256,54.857142857142854,12,0,1,18,59.55,10.86
231,76,16,0.06433018511038018,0.01073345259391771,92.33333333333333,16,0,4,24,47.8,17.66
232,86,15,0.0616485574350743,0.01282051282051282,88.28571428571429,19,2,4,31,50.7,14.69
233,57,12,0.05731013172873638,0.020930232558139535,70.83333333333333,7,0,0,24,47.65,16.43
234,56,7,0.07337529211050735,0.01871657754010695,124.0,8,0,2,19,50.15,16.05
235,54,10,0.06851929154988372,0.00975609756097561,204.5,14,2,7,16,24.8,21.17
236,89,12,0.0674786043449638,0.0050933786078098476,146.5,13,0,1,25,52.7,17.44
237,68,11,0.06252325001134147,0.00851063829787234,234.5,18,0,3,21,30.5,24.08
238,71,12,0.06437233198594687,0.007766990291262136,102.0,11,2,1,23,39.35,17.82
239,54,10,0.06322589327770674,0.018134715025906734,76.2,7,2,1,19,55.35,15.77
240,54,10,0.06322589327770674,0.018134715025906734,76.2,7,2,1,19,55.35,15.77
241,60,3,0.0630385227451936,0.02406417112299465,74.0,12,0,2,16,68.75,9.47
242,70,12,0.06472732070119891,0.010141987829614604,81.33333333333333,13,0,4,19,57.15,14.97
243,56,11,0.0662054982408015,0.007317073170731708,81.2,9,0,0,19,45.95,17.34
244,52,14,0.06507625660198209,0.021897810218978103,102.0,11,1,3,17,32.45,21.35
245,68,13,0.07242856921863157,0.015717092337917484,126.25,10,1,0,20,28.6,20.26
246,80,15,0.06439721402123738,0.011532125205930808,75.0,20,0,4,30,38.0,18.82
247,80,15,0.06444991789819376,0.011494252873563218,75.25,21,1,5,30,38.0,18.82
248,56,12,0.06185047785175539,0.017326732673267328,134.0,11,0,1,19,50.15,16.77
249,65,5,0.07002371829958037,0.012315270935960592,80.4,13,0,2,16,65.4,13.48
250,52,7,0.0644415069398546,0.011204481792717087,88.5,9,0,1,15,67.55,10.58
251,56,7,0.06912194026498988,0.02185792349726776,72.4,10,0,0,16,63.5,12.34
252,63,8,0.06919110290156237,0.0117096018735363,84.6,14,1,1,19,56.25,13.29
253,73,10,0.06814331913146143,0.014462809917355372,79.83333333333333,14,0,3,20,60.1,14.06
254,54,4,0.06403371373163272,0.018292682926829267,64.8,9,1,2,20,69.95,9.52
255,79,12,0.07283149513496866,0.010968921389396709,77.28571428571429,11,3,5,24,51.7,16.17
256,70,6,0.06792437412540984,0.01805869074492099,54.5,18,1,4,21,66.1,12.14
257,56,12,0.05966186010554268,0.009456264775413711,83.8,9,1,3,18,43.15,17.03
258,56,6,0.07360959651035985,0.017811704834605598,64.66666666666667,10,0,0,19,59.55,11.58
259,70,10,0.06521380629627797,0.012170385395537525,97.8,11,0,1,23,54.85,13.03
260,52,9,0.06662652416077075,0.01643835616438356,72.2,11,0,0,15,50.0,15.2
261,136,18,0.06239120253779746,0.004201680672268907,72.23076923076923,33,3,4,48,56.55,12.03
262,50,6,0.06772581487282764,0.01524390243902439,81.25,9,0,0,16,62.2,13.8
263,87,18,0.06512840008154136,0.006633499170812604,99.66666666666667,18,1,3,28,51.45,15.7
264,58,6,0.05940046967813234,0.013123359580052493,94.5,15,1,1,19,66.05,12.01
265,72,13,0.06473286562331354,0.007339449541284404,135.25,12,1,3,17,39.0,19.6
266,51,8,0.06785187832224059,0.013623978201634877,72.6,14,1,5,16,46.0,17.78
267,55,9,0.06453768553620769,0.02531645569620253,65.0,13,0,2,21,57.85,13.85
268,120,20,0.06391119030241324,0.009111617312072893,124.57142857142857,32,0,2,44,46.0,14.87
269,52,7,0.0629012667013708,0.008823529411764706,84.25,7,1,1,17,67.55,11.35
270,62,9,0.06241895261845388,0.022443890274314215,133.0,14,1,4,15,65.7,14.73
271,83,15,0.06570035901530422,0.01335559265442404,74.0,16,0,0,26,52.6,14.76
272,62,9,0.06762512703977344,0.007159904534606206,104.0,7,0,0,18,53.35,15.23
273,128,10,0.061689476900394766,0.0038119440914866584,70.63636363636364,29,2,2,45,68.95,11.2
274,122,16,0.06350038970930354,0.0036496350364963502,81.3,22,2,7,30,61.3,11.31
275,67,8,0.06406436532538796,0.013422818791946308,73.66666666666667,13,1,2,19,57.85,12.88
276,56,9,0.061710467133586064,0.012658227848101266,65.16666666666667,16,1,6,19,63.5,12.34
277,58,6,0.06817015034836815,0.014814814814814815,100.5,10,2,2,16,54.35,13.39
278,78,11,0.06528054884665195,0.011214953271028037,75.71428571428571,19,1,6,21,53.45,14.99
279,50,6,0.06470372811836227,0.024324324324324326,122.66666666666667,7,1,1,15,40.45,18.68
280,63,7,0.06471906130146957,0.01507537688442211,132.0,13,1,5,18,54.7,15.33
281,58,9,0.07058323293884203,0.0048543689320388345,136.66666666666666,10,1,1,17,49.55,16.0
282,74,8,0.06819993069993069,0.014553014553014554,95.4,11,1,2,22,59.9,14.57
283,116,20,0.06628446972424219,0.011015911872705019,73.36363636363636,24,0,2,29,57.25,13.95
284,79,23,0.06494797314006354,0.009244992295839754,53.166666666666664,15,0,2,30,37.55,17.84
285,135,22,0.06631198330651969,0.0031982942430703624,84.36363636363636,25,0,4,38,55.45,14.91
286,108,19,0.0646764574988874,0.008,106.28571428571429,17,2,2,29,53.45,15.79
287,67,9,0.06496838801975173,0.01072961373390558,57.375,13,1,1,19,60.45,13.51
288,68,9,0.062094690553188565,0.012396694214876033,96.0,14,0,2,22,49.6,17.9
289,53,3,0.0647779068728215,0.020895522388059702,83.0,9,0,0,16,67.25,10.6
290,69,12,0.06399717502525233,0.016194331983805668,122.75,14,2,2,26,45.7,16.2
291,84,6,0.06855526984754913,0.0076481835564053535,103.8,12,1,2,22,69.8,12.91
292,91,17,0.06704224466785311,0.014005602240896359,88.375,14,0,1,24,34.05,17.31
293,125,27,0.06522211207100033,0.004343105320304018,91.2,18,0,0,42,49.1,16.12
294,89,12,0.06447669977081741,0.008403361344537815,73.375,15,1,0,31,50.3,11.37
295,64,9,0.062483370760209024,0.013824884792626729,107.75,9,0,0,20,64.55,15.15
296,66,6,0.06453231633881974,0.014150943396226415,140.66666666666666,12,1,4,20,58.55,14.86
297,66,5,0.06675141620946519,0.009433962264150943,140.66666666666666,10,0,1,20,58.55,14.86
298,57,9,0.06383088093555228,0.017721518987341773,78.2,8,0,0,20,48.7,12.04
299,76,13,0.067031798056466,0.007575757575757576,131.25,9,0,0,19,44.0,19.18
300,61,12,0.06677848949128118,0.009478672985781991,104.75,9,0,0,15,53.55,15.3
301,52,6,0.0715832315832316,0.014245014245014245,116.33333333333333,11,0,2,13,48.7,15.02
